ID,price_usd,surface_total,expenses
6227,208000.0,94,0.0
5376,285000.0,181,5000.0
4980,174000.0,70,4300.0
9470,748000.0,338,0.0
9514,385000.0,125,5300.0
5835,198000.0,160,0.0
5155,370000.0,75,0.0
5899,690000.0,624,0.0
8166,480000.0,350,0.0
2312,1150000.0,320,0.0
280,159173.0,96,0.0
3563,250000.0,65,0.0
5135,850000.0,168,0.0
9682,137000.0,42,0.0
1531,580000.0,204,0.0
1017,285000.0,100,3700.0
9583,87900.0,54,2600.0
4856,137000.0,84,0.0
403,735000.0,351,0.0
1793,310000.0,120,3600.0
437,450000.0,143,10000.0
8240,174000.0,75,0.0
4182,810000.0,135,0.0
3735,440000.0,125,5500.0
5731,80000.0,40,0.0
8054,180000.0,91,0.0
693,1400000.0,300,0.0
7647,170000.0,74,2100.0
4588,118000.0,32,3000.0
6359,380000.0,170,0.0
5044,1099999.0,185,0.0
10546,150000.0,65,2200.0
2199,219000.0,84,0.0
